id,username,created_at,lng,lat,text
1517684629645451265,BengalsShare,Sat Apr 23 01:59:47 +0000 2022,-84.261679,39.1230895,@pommytalmer @Reds @EliApple @Vonn @Bengals First thing I looked at lol
1517684629930745857,NoblePies,Sat Apr 23 01:59:47 +0000 2022,-74.337379,41.277158,@tmwinsett My mom makes an awesome Sazerac.
1517684632510033920,pferrell3,Sat Apr 23 01:59:48 +0000 2022,-76.54701961,39.28004459,Date Night #couplesnight #comedy #baltimorecomedyfactory @ Baltimore Comedy Factory https://t.co/L4ldHLMPk1
1517684635735666691,MarkJEngleson,Sat Apr 23 01:59:49 +0000 2022,-77.101999,38.8808445,@Ada_Palmer I assume you borrow money from the Jewish students and lock them in a small room?
1517684635802738690,_BrattyNatty,Sat Apr 23 01:59:49 +0000 2022,-79.380525,46.335477999999995,@Jeepster061 Well hello there! 👋
1517684636134129665,BryanHundreds,Sat Apr 23 01:59:49 +0000 2022,-77.017853,39.008349499999994,Catch me at the Aventura concert
1517684640462553088,soozinsta,Sat Apr 23 01:59:50 +0000 2022,-84.2864685,33.8028105,My husband texted me to the grocery store to decipher his handwriting. https://t.co/FyABGmt1RM
1517684642584932355,joelm350,Sat Apr 23 01:59:50 +0000 2022,-83.453494,41.659482,@princesssniii Fine ass😮‍💨
1517684643092381698,OtherTerenceJ,Sat Apr 23 01:59:50 +0000 2022,-71.09140049999999,42.780778,@nowthisnews @BettyBuckley Can't wait to see this episode of the FBIs on @CBS
1517684648285024256,Ohio_Players,Sat Apr 23 01:59:52 +0000 2022,-84.3018337,39.0923304,11th Grade Boys - Ohio Crossover-Red def. Ohio Prospects 55-43 #exposurebball
1517684650558251009,kailahcassidy,Sat Apr 23 01:59:52 +0000 2022,-82.6694675,40.365159500000004,@haleydirtysoul stake through the head
1517684652282163206,WillCleveland13,Sat Apr 23 01:59:52 +0000 2022,-77.57245499999999,43.211766999999995,@geomorgs4 We’re saving the Ghosts finale for tomorrow. Super excited. That show is wonderful.
1517684652990812161,ChrisAcMilan,Sat Apr 23 01:59:53 +0000 2022,-79.2725695,43.629311,I’m ready for a relationship now.
1517684653653700608,BlueDemonsAD,Sat Apr 23 01:59:53 +0000 2022,-80.926628,33.6311395,"Glad I was able to make it to Cayce, SC to see a great finish. On to the semis. #BlueGrit"
1517684655822094336,RhubarbBrown,Sat Apr 23 01:59:53 +0000 2022,-84.5960525,33.47196700000001,@FishArmy305 Is hit him with this one next https://t.co/y5OwCH6WsI
1517684657290194947,ErikaRangelMD,Sat Apr 23 01:59:54 +0000 2022,-71.1421555,42.323239,@UMichSurgery @YueyungHu @The_SECONDTrial @YueyungHu always asks the right questions and knows the right way to stu… https://t.co/ucqaNeHDvS
1517684657781080065,rmatthartley,Sat Apr 23 01:59:54 +0000 2022,-81.654683,30.326079,Jacksonville twitter continues to deliver. @lawrenceluksha no longer a digital being of remote existence. And… https://t.co/m3c9rwYhIb
